algorithm,dataType,n,timeMs,comparisons
msd_radix_qs,almost,2400,0.893458,16148
std_sort,random,2500,2.58833,47192
stable_sort,random,2500,2.51587,36044
merge_lcp,random,2500,3.93613,60943
quick3way,random,2500,1.10096,27890
msd_radix,random,2500,7.04967,0
msd_radix_qs,random,2500,0.815167,12559
std_sort,reverse,2500,0.467125,10542
stable_sort,reverse,2500,1.81071,25515
merge_lcp,reverse,2500,2.8715,37422
quick3way,reverse,2500,3.88821,119564
msd_radix,reverse,2500,4.76029,0
msd_radix_qs,reverse,2500,1.48633,37286
std_sort,almost,2500,0.85725,17406
stable_sort,almost,2500,1.69583,23126
merge_lcp,almost,2500,3.02825,40870
quick3way,almost,2500,3.4025,97547
msd_radix,almost,2500,4.87904,0
msd_radix_qs,almost,2500,0.878375,17202
std_sort,random,2600,2.64662,48963
stable_sort,random,2600,2.6305,37699
merge_lcp,random,2600,4.24817,63662
quick3way,random,2600,1.2145,30614
msd_radix,random,2600,5.01888,0
msd_radix_qs,random,2600,0.858625,13290
std_sort,reverse,2600,0.787666,10977
stable_sort,reverse,2600,6.25871,27006
merge_lcp,reverse,2600,4.751,39286
quick3way,reverse,2600,4.27187,125018
msd_radix,reverse,2600,5.54896,0
msd_radix_qs,reverse,2600,1.67392,39279
std_sort,almost,2600,0.974167,19569
stable_sort,almost,2600,1.67546,24405
merge_lcp,almost,2600,2.96133,43313
quick3way,almost,2600,3.29492,100811
msd_radix,almost,2600,5.24254,0
msd_radix_qs,almost,2600,0.929958,18446
std_sort,random,2700,3.00263,51414
stable_sort,random,2700,2.83879,39658
merge_lcp,random,2700,4.11942,66659
quick3way,random,2700,1.11288,30211
msd_radix,random,2700,5.73637,0
msd_radix_qs,random,2700,0.829042,14036
std_sort,reverse,2700,0.506083,11476
stable_sort,reverse,2700,2.04483,28959
merge_lcp,reverse,2700,3.14775,41374
quick3way,reverse,2700,4.49,131092
msd_radix,reverse,2700,6.11838,0
msd_radix_qs,reverse,2700,1.76575,41548
std_sort,almost,2700,0.896541,19916
stable_sort,almost,2700,1.74021,23965
merge_lcp,almost,2700,3.21733,42463
quick3way,almost,2700,6.6145,108508
msd_radix,almost,2700,9.00692,0
msd_radix_qs,almost,2700,1.04283,19151
std_sort,random,2800,4.50729,53071
stable_sort,random,2800,4.03821,41394
merge_lcp,random,2800,4.33296,69521
quick3way,random,2800,1.27875,32882
msd_radix,random,2800,6.05771,0
msd_radix_qs,random,2800,0.876792,14844
std_sort,reverse,2800,0.521375,11869
stable_sort,reverse,2800,2.02712,30460
merge_lcp,reverse,2800,3.03196,42958
quick3way,reverse,2800,4.32004,136243
msd_radix,reverse,2800,6.08217,0
msd_radix_qs,reverse,2800,1.77337,45494
std_sort,almost,2800,0.956417,19694
stable_sort,almost,2800,1.92229,26266
